player1,player2,player3,player4,score1,score2,date
Daniel Hodgins,Seth Harward,Owen Henderschedt,Emma Snyder,21,1,2024-08-13
John David Clifton,John Cobb,Owen Henderschedt,Jared DeLeo,21,8,2024-12-27
John Cobb,John David Clifton,Seth Harward,Daniel Hodgins,21,14,2024-10-06
John Sterling,James Zhong,,,21,8,2024-12-21
Owen Henderschedt,Daniel Hodgins,John Cobb,John David Clifton,21,14,2024-12-26
Sean Grate,John Sterling,,,21,18,2024-09-11
John David Clifton,Jared DeLeo,,,21,13,2024-09-10
Sean Grate,John Cobb,,,21,8,2024-11-05
John Sterling,James Zhong,,,21,1,2024-10-27
Emma Snyder,John Cobb,Daniel Hodgins,Kenny Powell,21,20,2024-12-19
Jared DeLeo,Sayantani Battacharya,,,21,6,2024-09-01
John Sterling,Seth Harward,Tim Eller,Kenny Powell,21,20,2024-08-18
John David Clifton,Emma Snyder,,,21,15,2024-11-29
Tristan Salinas,Sean Grate,John Sterling,John David Clifton,21,10,2024-09-29
Tristan Salinas,Seth Harward,James Zhong,Jared DeLeo,21,15,2024-12-03
John Sterling,John David Clifton,,,21,4,2024-11-22
Sayantani Battacharya,John David Clifton,,,21,18,2024-12-13
Sayantani Battacharya,James Zhong,,,21,0,2024-08-13
Emma Snyder,Jared DeLeo,,,21,11,2024-08-20
Emma Snyder,Tristan Salinas,,,21,9,2024-12-28
Seth Harward,Tim Eller,,,21,5,2024-10-21
John David Clifton,Kenny Powell,,,21,16,2024-12-03
Tim Eller,Tristan Salinas,,,21,15,2024-11-18
Tim Eller,John David Clifton,,,21,18,2024-08-22
Jared DeLeo,Daniel Hodgins,,,21,17,2024-11-25
James Zhong,John David Clifton,,,21,20,2024-10-05
Jared DeLeo,John David Clifton,,,21,3,2024-11-22
Tim Eller,John David Clifton,,,21,19,2024-09-09
Jared DeLeo,John Sterling,,,21,19,2024-10-21
Daniel Hodgins,Jared DeLeo,,,21,17,2024-11-21
Emma Snyder,John Sterling,,,21,2,2024-12-26
Daniel Hodgins,John David Clifton,,,21,4,2024-12-26
Kenny Powell,Jared DeLeo,John Sterling,Emma Snyder,21,19,2024-12-19
John David Clifton,Seth Harward,Jared DeLeo,Sayantani Battacharya,21,8,2024-12-13
John Sterling,Seth Harward,Daniel Hodgins,James Zhong,21,8,2024-10-06
Seth Harward,James Zhong,,,21,6,2024-10-30
Emma Snyder,Daniel Hodgins,,,21,8,2024-08-05
Jared DeLeo,John Cobb,,,21,12,2024-11-07
James Zhong,Owen Henderschedt,,,21,15,2024-11-12
Tim Eller,Tristan Salinas,,,21,17,2024-09-12
Owen Henderschedt,Tristan Salinas,,,21,5,2024-08-11
Kenny Powell,Tristan Salinas,John Cobb,Sean Grate,21,18,2024-11-21
Tim Eller,John Cobb,Daniel Hodgins,Owen Henderschedt,21,9,2024-10-14
Sean Grate,Seth Harward,,,21,0,2024-10-05
John David Clifton,Tim Eller,,,21,2,2024-12-05
Emma Snyder,James Zhong,John Cobb,Seth Harward,21,10,2024-09-01
Sayantani Battacharya,Jared DeLeo,,,21,0,2024-12-20
Jared DeLeo,Sean Grate,,,21,3,2024-10-16
Owen Henderschedt,Sean Grate,,,21,9,2024-09-06
Jared DeLeo,Emma Snyder,,,21,11,2024-08-26
Emma Snyder,Kenny Powell,James Zhong,Sean Grate,21,8,2024-08-28
Emma Snyder,Sayantani Battacharya,,,21,2,2024-12-07
Daniel Hodgins,Seth Harward,,,21,15,2024-12-21
Seth Harward,Sayantani Battacharya,,,21,18,2024-12-03
Sean Grate,Owen Henderschedt,,,21,18,2024-11-30
Sayantani Battacharya,James Zhong,,,21,16,2024-08-26
Daniel Hodgins,Kenny Powell,Owen Henderschedt,John Cobb,21,14,2024-08-30
Daniel Hodgins,Tristan Salinas,,,21,3,2024-08-12
Tim Eller,James Zhong,,,21,10,2024-08-23
Tristan Salinas,John David Clifton,Kenny Powell,Owen Henderschedt,21,11,2024-08-08
Tristan Salinas,Daniel Hodgins,Owen Henderschedt,John Sterling,21,12,2024-12-29
Sayantani Battacharya,Emma Snyder,,,21,0,2024-11-14
Tim Eller,John Sterling,,,21,4,2024-09-07
Tristan Salinas,John Sterling,Tim Eller,Seth Harward,21,16,2024-08-30
John Sterling,Kenny Powell,,,21,20,2024-11-27
John David Clifton,John Sterling,Sayantani Battacharya,Owen Henderschedt,21,20,2024-12-07
Seth Harward,Daniel Hodgins,,,21,9,2024-08-14
Sayantani Battacharya,Seth Harward,James Zhong,John Sterling,21,13,2024-08-07
Sean Grate,John Sterling,Jared DeLeo,Kenny Powell,21,13,2024-08-04
Kenny Powell,John Sterling,Jared DeLeo,Owen Henderschedt,21,10,2024-11-25
Daniel Hodgins,John David Clifton,Seth Harward,Tristan Salinas,21,15,2024-12-01
James Zhong,Kenny Powell,,,21,19,2024-09-11
Jared DeLeo,John Cobb,,,21,2,2024-08-30
Sean Grate,James Zhong,,,21,13,2024-08-04
Kenny Powell,Daniel Hodgins,,,21,10,2024-10-04
Tristan Salinas,Owen Henderschedt,,,21,5,2024-09-25
James Zhong,Sayantani Battacharya,,,21,6,2024-12-27
Sean Grate,John Cobb,John David Clifton,Seth Harward,21,14,2024-11-25
Jared DeLeo,John Cobb,,,21,2,2024-08-11
John Sterling,Tristan Salinas,,,21,15,2024-08-06
Tristan Salinas,John David Clifton,,,21,5,2024-08-24
Tim Eller,Seth Harward,,,21,12,2024-08-11
John David Clifton,Seth Harward,,,21,0,2024-11-25
John Cobb,Sayantani Battacharya,,,21,9,2024-10-14
John Cobb,Tristan Salinas,,,21,6,2024-10-12
John David Clifton,John Cobb,,,21,18,2024-12-28
Jared DeLeo,Emma Snyder,,,21,9,2024-12-10
John Sterling,Seth Harward,,,21,19,2024-10-30
Owen Henderschedt,Sean Grate,Daniel Hodgins,Tristan Salinas,21,2,2024-10-23
John Sterling,John Cobb,,,21,4,2024-10-26
Tristan Salinas,Emma Snyder,Kenny Powell,Jared DeLeo,21,7,2024-10-20
Tristan Salinas,John Cobb,,,21,19,2024-08-11
Owen Henderschedt,Sayantani Battacharya,,,21,15,2024-08-21
John David Clifton,Kenny Powell,,,21,19,2024-11-11
Tristan Salinas,Tim Eller,Kenny Powell,Owen Henderschedt,21,2,2024-12-30
James Zhong,Tim Eller,Jared DeLeo,Daniel Hodgins,21,3,2024-09-20
Tim Eller,James Zhong,,,21,11,2024-09-01
John Cobb,Emma Snyder,Sayantani Battacharya,Seth Harward,21,10,2024-09-01
Owen Henderschedt,Tim Eller,Sayantani Battacharya,Sean Grate,21,5,2024-11-08
Emma Snyder,Owen Henderschedt,,,21,12,2024-12-06
Kenny Powell,John Cobb,,,21,17,2024-10-21
Seth Harward,Sayantani Battacharya,,,21,7,2024-09-17
Emma Snyder,John Sterling,,,21,14,2024-09-17
Owen Henderschedt,Sean Grate,,,21,0,2024-09-05
Jared DeLeo,James Zhong,,,21,4,2024-11-22
John Cobb,John David Clifton,,,21,7,2024-09-12
John David Clifton,James Zhong,Daniel Hodgins,John Cobb,21,8,2024-10-17
Kenny Powell,Sayantani Battacharya,,,21,4,2024-08-07
Tim Eller,John Sterling,,,21,4,2024-10-13
Jared DeLeo,Kenny Powell,,,21,9,2024-12-26
Sean Grate,James Zhong,,,21,6,2024-09-07
Owen Henderschedt,Sayantani Battacharya,John Cobb,Tristan Salinas,21,20,2024-11-10
Kenny Powell,Daniel Hodgins,,,21,3,2024-12-11
Kenny Powell,Sayantani Battacharya,,,21,12,2024-08-08
Sean Grate,Jared DeLeo,,,21,1,2024-09-07
Sayantani Battacharya,Owen Henderschedt,,,21,17,2024-11-21
John Sterling,Tim Eller,,,21,4,2024-11-16
Daniel Hodgins,Kenny Powell,,,21,16,2024-10-20
Sean Grate,Emma Snyder,,,21,7,2024-10-16
Seth Harward,Sean Grate,,,21,9,2024-09-10
Daniel Hodgins,Sean Grate,,,21,8,2024-11-19
Tim Eller,Emma Snyder,John David Clifton,Sean Grate,21,18,2024-12-11
Tristan Salinas,Owen Henderschedt,,,21,6,2024-08-06
Sean Grate,Seth Harward,Owen Henderschedt,James Zhong,21,13,2024-10-01
Tristan Salinas,Emma Snyder,,,21,7,2024-12-05
James Zhong,Daniel Hodgins,,,21,0,2024-10-28
Daniel Hodgins,John Cobb,Sayantani Battacharya,Emma Snyder,21,7,2024-12-01
John David Clifton,Tim Eller,,,21,9,2024-10-03
John Cobb,John David Clifton,,,21,10,2024-09-14
Emma Snyder,Jared DeLeo,,,21,20,2024-11-27
Sean Grate,Tristan Salinas,John Sterling,John David Clifton,21,9,2024-11-09
John Cobb,Tristan Salinas,,,21,19,2024-11-17
Emma Snyder,John Sterling,,,21,16,2024-09-03
